HOUSEID,PERSONID,TDTRPNUM,TRVLCMIN,TRIPPURP,WHYTO,WHYFROM,TRPTRANS,trip_mode_drivingDetail,trip_mode_simplified,trip_purpose,trip_mode_EXTRA_simplified,trip_purpose_EXTRA_simp
40066882,01,03,22,NHB,03,06,03,Drive: Car,Drive,Work,Drive,Work
40066882,01,04,10,NHB,13,03,03,Drive: Car,Drive,Going out to eat,Drive,Getting Food/Drinks
40066882,01,05,10,NHB,03,13,03,Drive: Car,Drive,Work,Drive,Work
40066882,01,06,7,NHB,06,03,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40066882,01,07,6,NHB,06,06,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40066882,01,08,13,HBO,01,06,03,Drive: Car,Drive,Going Home,Drive,Going Home
40066882,02,01,10,HBO,08,01,03,Drive: Car,Drive,Going to School,Drive,Going to School
40066882,02,02,13,HBO,01,08,03,Drive: Car,Drive,Going Home,Drive,Going Home
40066882,03,01,10,HBO,06,01,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40066882,03,02,6,NHB,09,06,03,Drive: Car,Drive,Going to Childcare,Drive,Going to School
40066882,03,03,8,NHB,06,09,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40066882,03,04,13,HBO,01,06,03,Drive: Car,Drive,Going Home,Drive,Going Home
40091111,01,02,10,NHB,13,07,03,Drive: Car,Drive,Going out to eat,Drive,Getting Food/Drinks
40091111,01,03,2,NHB,11,13,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,01,04,2,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,01,05,28,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
40091111,01,09,2,NHB,11,07,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,01,10,3,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,02,02,10,NHB,13,07,03,Drive: Car,Drive,Going out to eat,Drive,Getting Food/Drinks
40091111,02,03,2,NHB,11,13,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,02,04,2,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,02,05,28,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
40091111,02,07,2,NHB,11,07,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40091111,02,08,3,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40096782,01,01,6,HBSOCREC,16,01,05,Drive: SUV/Van,Drive,Exercise,Drive,Other
40096782,01,02,6,HBSOCREC,01,16,05,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40096782,01,03,15,HBW,03,01,05,Drive: SUV/Van,Drive,Work,Drive,Work
40096782,01,04,9,NHB,18,03,05,Drive: SUV/Van,Drive,Medical Visit,Drive,Medical Visit
40096782,01,05,8,NHB,03,18,05,Drive: SUV/Van,Drive,Work,Drive,Work
40096782,01,06,3,NHB,13,03,05,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40096782,01,07,12,HBSHOP,01,13,05,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40096782,01,08,11,HBW,03,01,05,Drive: SUV/Van,Drive,Work,Drive,Work
40096782,01,09,15,HBW,01,03,05,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40096782,02,01,15,HBSOCREC,16,01,03,Drive: Car,Drive,Exercise,Drive,Other
40096782,02,02,20,HBSOCREC,01,16,03,Drive: Car,Drive,Going Home,Drive,Going Home
40096782,02,03,20,HBO,18,01,03,Drive: Car,Drive,Medical Visit,Drive,Medical Visit
40096782,02,04,15,NHB,11,18,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40096782,02,05,15,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
40096782,02,06,30,HBSOCREC,17,01,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
40096782,02,07,30,HBSOCREC,01,17,03,Drive: Car,Drive,Going Home,Drive,Going Home
40128298,01,01,15,HBSHOP,13,01,05,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40128298,01,02,1,NHB,11,13,05,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40128298,01,03,14,HBSHOP,01,11,05,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40128486,01,01,15,HBO,19,01,04,Drive: SUV/Van,Drive,Religious,Drive,Volunteering/Religious Activities
40128486,01,02,15,NHB,97,19,04,Drive: SUV/Van,Drive,NA,Drive,NA
40128486,01,03,1,NHB,13,97,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40128486,01,04,15,HBSHOP,01,13,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40128486,01,05,10,HBO,06,01,04,Drive: SUV/Van,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40128486,01,06,20,NHB,14,06,04,Drive: SUV/Van,Drive,Errands,Drive,Errands (Non-shopping)
40128486,01,07,10,HBO,01,14,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40128486,02,01,75,NHB,06,15,04,Drive: SUV/Van,Drive,Giving someone a ride,Drive,Giving Someone a Ride
